locus_tag,gene,product,bp_length
IMMEILNN_00218,purQ,Phosphoribosylformylglycinamidine synthase subunit PurQ,672
IMMEILNN_00219,purL,Phosphoribosylformylglycinamidine synthase subunit PurL,2211
IMMEILNN_00220,,putative protein RP812,234
IMMEILNN_00221,grxD,Glutaredoxin 4,333
IMMEILNN_00222,bcr,Bicyclomycin resistance protein,1257
IMMEILNN_00223,parC,DNA topoisomerase 4 subunit A,2250
IMMEILNN_00224,aspS,Aspartate--tRNA(Asp/Asn) ligase,1794
IMMEILNN_00225,rnd_1,Ribonuclease D,1152
IMMEILNN_00226,gppA_1,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",1512
IMMEILNN_00227,ppk,Polyphosphate kinase,2169
IMMEILNN_00228,,hypothetical protein,249
IMMEILNN_00229,mhbM,3-hydroxybenzoate 6-hydroxylase,1254
IMMEILNN_00230,dnaE1,DNA polymerase III subunit alpha,3489
IMMEILNN_00231,recG,ATP-dependent DNA helicase RecG,2109
IMMEILNN_00232,nodM,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],1824
IMMEILNN_00233,glmU,Bifunctional protein GlmU,1350
IMMEILNN_00234,,hypothetical protein,786
IMMEILNN_00235,,hypothetical protein,1011
IMMEILNN_00236,sufA,Protein SufA,324
IMMEILNN_00237,,Deoxyguanosinetriphosphate triphosphohydrolase-like protein,1200
IMMEILNN_00238,argS,Arginine--tRNA ligase,1758
IMMEILNN_00239,,hypothetical protein,2388
IMMEILNN_00240,,hypothetical protein,303
IMMEILNN_00241,ilvE,Branched-chain-amino-acid aminotransferase,1107
IMMEILNN_00242,glpX,"Fructose-1,6-bisphosphatase class 2",987
IMMEILNN_00243,hom,Homoserine dehydrogenase,1311
IMMEILNN_00245,icd,Isocitrate dehydrogenase [NADP],1215
IMMEILNN_00246,,putative multidrug-efflux transporter,1428
IMMEILNN_00247,ydhP,Inner membrane transport protein YdhP,1209
IMMEILNN_00248,tgt,Queuine tRNA-ribosyltransferase,1119
IMMEILNN_00249,ppiB,Peptidyl-prolyl cis-trans isomerase B,513
IMMEILNN_00250,,hypothetical protein,594
IMMEILNN_00251,coaD,Phosphopantetheine adenylyltransferase,522
IMMEILNN_00252,gyrA,DNA gyrase subunit A,2787
IMMEILNN_00253,ssb_2,Single-stranded DNA-binding protein,519
IMMEILNN_00254,uvrA,UvrABC system protein A,2916
IMMEILNN_00255,glnB,Nitrogen regulatory protein P-II,339
IMMEILNN_00256,glnA,Glutamine synthetase,1410
IMMEILNN_00257,,hypothetical protein,546
IMMEILNN_00258,,hypothetical protein,783
IMMEILNN_00259,rluC,Ribosomal large subunit pseudouridine synthase C,984
IMMEILNN_00260,ndvA,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,1788
IMMEILNN_00261,alaS,Alanine--tRNA ligase,2664
IMMEILNN_00262,recA,Protein RecA,1044
IMMEILNN_00263,rarA,Replication-associated recombination protein A,1320
IMMEILNN_00264,degP_1,Periplasmic serine endoprotease DegP,1395
IMMEILNN_00265,rplQ,50S ribosomal protein L17,429
IMMEILNN_00266,rpoA,DNA-directed RNA polymerase subunit alpha,1140
IMMEILNN_00267,rpsK,30S ribosomal protein S11,390
IMMEILNN_00268,rpsM,30S ribosomal protein S13,369
IMMEILNN_00269,adk,Adenylate kinase,579
IMMEILNN_00270,secY,Protein translocase subunit SecY,1347
IMMEILNN_00271,rplO,50S ribosomal protein L15,468
IMMEILNN_00272,rpmD,50S ribosomal protein L30,207
IMMEILNN_00273,rpsE,30S ribosomal protein S5,549
IMMEILNN_00274,rplR,50S ribosomal protein L18,363
IMMEILNN_00275,rplF,50S ribosomal protein L6,534
IMMEILNN_00276,rpsH,30S ribosomal protein S8,399
IMMEILNN_00277,rpsN,30S ribosomal protein S14,306
IMMEILNN_00278,rplE,50S ribosomal protein L5,558
IMMEILNN_00279,rplX,50S ribosomal protein L24,315
IMMEILNN_00280,rplN,50S ribosomal protein L14,369
IMMEILNN_00281,rpsQ,30S ribosomal protein S17,243
IMMEILNN_00282,rpmC,50S ribosomal protein L29,201
IMMEILNN_00283,rplP,50S ribosomal protein L16,414
IMMEILNN_00284,rpsC,30S ribosomal protein S3,711
IMMEILNN_00285,rplV,50S ribosomal protein L22,390
IMMEILNN_00286,rpsS,30S ribosomal protein S19,279
IMMEILNN_00287,rplB,50S ribosomal protein L2,834
IMMEILNN_00288,rplW,50S ribosomal protein L23,294
IMMEILNN_00289,rplD,50S ribosomal protein L4,621
IMMEILNN_00290,rplC,50S ribosomal protein L3,741
IMMEILNN_00291,rpsJ,30S ribosomal protein S10,309
IMMEILNN_00293,serC,Phosphoserine aminotransferase,1164
IMMEILNN_00294,purA,Adenylosuccinate synthetase,1290
IMMEILNN_00295,,hypothetical protein,1479
IMMEILNN_00296,rpoH_1,RNA polymerase sigma factor RpoH,885
IMMEILNN_00297,rluD,Ribosomal large subunit pseudouridine synthase D,1005
IMMEILNN_00298,ald,3-succinoylsemialdehyde-pyridine dehydrogenase,1431
IMMEILNN_00299,,hypothetical protein,2550
IMMEILNN_00300,sasA_1,Adaptive-response sensory-kinase SasA,2262
IMMEILNN_00301,mscL,Large-conductance mechanosensitive channel,414
IMMEILNN_00302,pyrD,Dihydroorotate dehydrogenase (quinone),1089
IMMEILNN_00304,,hypothetical protein,252
IMMEILNN_00305,,hypothetical protein,102
IMMEILNN_00306,pbuE,Purine efflux pump PbuE,693
IMMEILNN_00307,,hypothetical protein,246
IMMEILNN_00308,,hypothetical protein,273
IMMEILNN_00309,,hypothetical protein,1863
IMMEILNN_00310,,hypothetical protein,558
IMMEILNN_00311,,hypothetical protein,519
IMMEILNN_00312,,hypothetical protein,258
IMMEILNN_00313,puuA,Gamma-glutamylputrescine synthetase PuuA,1482
IMMEILNN_00314,puuB,Gamma-glutamylputrescine oxidoreductase,1284
IMMEILNN_00315,zwf,Glucose-6-phosphate 1-dehydrogenase,1476
IMMEILNN_00316,pgl,6-phosphogluconolactonase,738
IMMEILNN_00317,edd,Phosphogluconate dehydratase,1824
IMMEILNN_00318,folD,Bifunctional protein FolD protein,900
IMMEILNN_00319,,hypothetical protein,1881
IMMEILNN_00320,,hypothetical protein,144
IMMEILNN_00321,rsmE,Ribosomal RNA small subunit methyltransferase E,744
IMMEILNN_00322,egtA,Glutamate--cysteine ligase EgtA,1374
IMMEILNN_00323,tcyP,L-cystine uptake protein TcyP,1356
IMMEILNN_00324,,hypothetical protein,885
IMMEILNN_00325,,hypothetical protein,786
IMMEILNN_00326,grxC,Glutaredoxin 3,264
IMMEILNN_00327,ubiG,Ubiquinone biosynthesis O-methyltransferase,747
IMMEILNN_00328,,Aspartate kinase,1257
IMMEILNN_00329,nhaA,Na(+)/H(+) antiporter NhaA,1362
IMMEILNN_00330,,hypothetical protein,1704
IMMEILNN_00331,,hypothetical protein,1773
IMMEILNN_00332,,hypothetical protein,672
IMMEILNN_00333,der,GTPase Der,1428
IMMEILNN_00334,,hypothetical protein,426
IMMEILNN_00335,atpB,ATP synthase subunit a,759
IMMEILNN_00336,atpE,ATP synthase subunit c,231
IMMEILNN_00337,atpF_1,ATP synthase subunit b,567
IMMEILNN_00338,atpF_2,ATP synthase subunit b,495
IMMEILNN_00339,glyS,Glycine--tRNA ligase beta subunit,2223
IMMEILNN_00340,glyQ,Glycine--tRNA ligase alpha subunit,945
IMMEILNN_00341,bepA_1,Beta-barrel assembly-enhancing protease,1695
IMMEILNN_00342,ispB,Octaprenyl diphosphate synthase,1017
IMMEILNN_00343,yfiC,tRNA1(Val) (adenine(37)-N6)-methyltransferase,792
IMMEILNN_00344,sppA,Putative signal peptide peptidase SppA,849
IMMEILNN_00345,,hypothetical protein,180
IMMEILNN_00346,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,909
IMMEILNN_00347,rnhB,Ribonuclease HII,636
IMMEILNN_00348,mazF_1,putative endoribonuclease MazF,324
IMMEILNN_00349,,hypothetical protein,225
IMMEILNN_00350,ssb_3,Single-stranded DNA-binding protein,444
IMMEILNN_00351,,hypothetical protein,495
IMMEILNN_00352,pemI,Antitoxin PemI,258
IMMEILNN_00353,pemK,Endoribonuclease PemK,264
IMMEILNN_00354,,hypothetical protein,171
IMMEILNN_00355,,hypothetical protein,372
IMMEILNN_00356,,hypothetical protein,285
IMMEILNN_00357,,hypothetical protein,321
IMMEILNN_00358,,hypothetical protein,180
IMMEILNN_00359,,hypothetical protein,267
IMMEILNN_00360,,hypothetical protein,1350
IMMEILNN_00361,,hypothetical protein,141
IMMEILNN_00362,intA_1,Prophage integrase IntA,1167
IMMEILNN_00363,,hypothetical protein,1530
IMMEILNN_00364,,hypothetical protein,666
IMMEILNN_00365,,hypothetical protein,378
IMMEILNN_00366,,hypothetical protein,231
IMMEILNN_00367,,hypothetical protein,171
IMMEILNN_00368,ywlC,Threonylcarbamoyl-AMP synthase,963
IMMEILNN_00369,,putative FAD-linked oxidoreductase,1416
IMMEILNN_00370,,hypothetical protein,528
IMMEILNN_00371,purD,Phosphoribosylamine--glycine ligase,1275
IMMEILNN_00372,ubiA,4-hydroxybenzoate octaprenyltransferase,1005
IMMEILNN_00373,pdxH,Pyridoxine/pyridoxamine 5'-phosphate oxidase,624
IMMEILNN_00374,cbpA,Curved DNA-binding protein,903
IMMEILNN_00375,fabI_1,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,819
IMMEILNN_00376,aroC,Chorismate synthase,1089
IMMEILNN_00377,ribBA,Riboflavin biosynthesis protein RibBA,1107
IMMEILNN_00378,xseB,Exodeoxyribonuclease 7 small subunit,255
IMMEILNN_00379,dxs_1,1-deoxy-D-xylulose-5-phosphate synthase,1923
IMMEILNN_00380,tlyA,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA,747
IMMEILNN_00381,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,1254
IMMEILNN_00382,tldD,Metalloprotease TldD,1425
IMMEILNN_00383,,hypothetical protein,540
IMMEILNN_00384,ctaB,Protoheme IX farnesyltransferase,936
IMMEILNN_00385,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,1056
IMMEILNN_00386,thrB,Homoserine kinase,960
IMMEILNN_00387,rnhA,Ribonuclease HI,468
IMMEILNN_00388,,hypothetical protein,171
IMMEILNN_00389,,hypothetical protein,852
IMMEILNN_00390,,hypothetical protein,585
IMMEILNN_00391,,hypothetical protein,2892
IMMEILNN_00392,,putative zinc protease,1275
IMMEILNN_00393,thrC,Threonine synthase,1398
IMMEILNN_00394,,hypothetical protein,369
IMMEILNN_00395,,hypothetical protein,366
IMMEILNN_00396,,hypothetical protein,363
IMMEILNN_00397,yieH,6-phosphogluconate phosphatase,696
IMMEILNN_00398,,hypothetical protein,1137
IMMEILNN_00399,mutY,Adenine DNA glycosylase,1107
IMMEILNN_00400,,hypothetical protein,441
IMMEILNN_00401,bdbD,Disulfide bond formation protein D,609
IMMEILNN_00402,ppdK,"Pyruvate, phosphate dikinase",2667
IMMEILNN_00403,,hypothetical protein,837
IMMEILNN_00404,,hypothetical protein,171
IMMEILNN_00405,,hypothetical protein,396
IMMEILNN_00406,sufE,Cysteine desulfuration protein SufE,411
IMMEILNN_00407,ros,Transcriptional regulatory protein ros,438
IMMEILNN_00408,dapb1,Dipeptidyl aminopeptidase BI,2097
IMMEILNN_00409,sodB,Superoxide dismutase [Mn],603
IMMEILNN_00411,,hypothetical protein,786
IMMEILNN_00412,,hypothetical protein,540
IMMEILNN_00413,,hypothetical protein,597
IMMEILNN_00414,mtgA,Biosynthetic peptidoglycan transglycosylase,2151
IMMEILNN_00415,,hypothetical protein,237
IMMEILNN_00416,phoP,Transcriptional regulatory protein PhoP,666
IMMEILNN_00417,sasA_2,Adaptive-response sensory-kinase SasA,1416
IMMEILNN_00418,,hypothetical protein,732
IMMEILNN_00419,ccmE,Cytochrome c-type biogenesis protein CcmE,480
IMMEILNN_00420,ccmF,Cytochrome c-type biogenesis protein CcmF,1977
IMMEILNN_00421,,hypothetical protein,408
IMMEILNN_00422,degP_2,Periplasmic serine endoprotease DegP,1521
IMMEILNN_00423,cusR,Transcriptional regulatory protein CusR,687
IMMEILNN_00424,sasA_3,Adaptive-response sensory-kinase SasA,1383
IMMEILNN_00425,glnE,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme,2925
IMMEILNN_00426,,hypothetical protein,840
IMMEILNN_00427,ada,Bifunctional transcriptional activator/DNA repair enzyme Ada,459
IMMEILNN_00428,rcsC_2,Sensor histidine kinase RcsC,2322
IMMEILNN_00429,pepN,Aminopeptidase N,2628
IMMEILNN_00430,,hypothetical protein,828
IMMEILNN_00431,thiD_1,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,768
IMMEILNN_00432,thiE_1,Thiamine-phosphate synthase,606
IMMEILNN_00433,thiG,Thiazole synthase,774
IMMEILNN_00434,,hypothetical protein,198
IMMEILNN_00435,mnmC,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,951
IMMEILNN_00436,thiC,Phosphomethylpyrimidine synthase,1833
IMMEILNN_00437,,hypothetical protein,222
IMMEILNN_00438,,hypothetical protein,981
IMMEILNN_00439,hmuV,Hemin import ATP-binding protein HmuV,795
IMMEILNN_00440,hmuU,Hemin transport system permease protein HmuU,1098
IMMEILNN_00441,hmuT,Hemin-binding periplasmic protein HmuT,903
IMMEILNN_00442,hemS,Hemin transport protein HemS,1044
IMMEILNN_00443,btuB,Vitamin B12 transporter BtuB,2196
IMMEILNN_00444,,hypothetical protein,786
IMMEILNN_00445,,hypothetical protein,2112
IMMEILNN_00446,dapA,4-hydroxy-tetrahydrodipicolinate synthase,885
IMMEILNN_00447,smpB,SsrA-binding protein,477
IMMEILNN_00448,udgb,Type-5 uracil-DNA glycosylase,669
IMMEILNN_00449,rpoZ,DNA-directed RNA polymerase subunit omega,399
IMMEILNN_00450,rsh,GTP pyrophosphokinase rsh,2226
IMMEILNN_00451,pyrE,Orotate phosphoribosyltransferase,600
IMMEILNN_00452,,hypothetical protein,603
IMMEILNN_00453,acpS,Holo-[acyl-carrier-protein] synthase,402
IMMEILNN_00454,lepB,Signal peptidase I,813
IMMEILNN_00455,rnc,Ribonuclease 3,708
IMMEILNN_00456,era,GTPase Era,906
IMMEILNN_00457,recO,DNA repair protein RecO,747
IMMEILNN_00458,panC,Pantothenate synthetase,861
IMMEILNN_00459,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,819
IMMEILNN_00460,,hypothetical protein,618
IMMEILNN_00461,ygfZ,tRNA-modifying protein YgfZ,867
IMMEILNN_00462,pyrC_2,Dihydroorotase,1329
IMMEILNN_00463,,hypothetical protein,399
IMMEILNN_00464,cysS,Cysteine--tRNA ligase,1509
IMMEILNN_00465,,hypothetical protein,672
IMMEILNN_00466,atm1,ATM1-type heavy metal exporter,1884
IMMEILNN_00467,psd,Phosphatidylserine decarboxylase proenzyme,699
IMMEILNN_00468,,hypothetical protein,840
IMMEILNN_00469,yciK,putative oxidoreductase YciK,753
IMMEILNN_00470,purF,Amidophosphoribosyltransferase,1491
IMMEILNN_00471,,hypothetical protein,582
IMMEILNN_00472,radA,DNA repair protein RadA,1395
IMMEILNN_00473,dnaC,Replicative DNA helicase,1491
IMMEILNN_00474,rplI,50S ribosomal protein L9,597
IMMEILNN_00475,,hypothetical protein,981
IMMEILNN_00476,rpsR,30S ribosomal protein S18,249
IMMEILNN_00477,,hypothetical protein,399
IMMEILNN_00478,ybjG,Putative undecaprenyl-diphosphatase YbjG,588
IMMEILNN_00479,fabD,Malonyl CoA-acyl carrier protein transacylase,945
IMMEILNN_00480,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,738
IMMEILNN_00481,acpP,Acyl carrier protein AcpP,237
IMMEILNN_00482,fabF_2,3-oxoacyl-[acyl-carrier-protein] synthase 2,1263
IMMEILNN_00483,mltG,Endolytic murein transglycosylase,1032
IMMEILNN_00484,gmk,Guanylate kinase,696
IMMEILNN_00485,rsmA,Ribosomal RNA small subunit methyltransferase A,840
IMMEILNN_00486,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,1014
IMMEILNN_00487,surA,Chaperone SurA,975
IMMEILNN_00488,lptD,LPS-assembly protein LptD,2367
IMMEILNN_00489,,hypothetical protein,1095
IMMEILNN_00490,,hypothetical protein,1191
IMMEILNN_00491,,hypothetical protein,447
IMMEILNN_00492,,hypothetical protein,264
IMMEILNN_00493,yhjE,Inner membrane metabolite transport protein YhjE,1290
IMMEILNN_00494,,hypothetical protein,5292
IMMEILNN_00495,,hypothetical protein,2571
IMMEILNN_00496,ndk,Nucleoside diphosphate kinase,423
IMMEILNN_00497,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,582
IMMEILNN_00498,uvrC,UvrABC system protein C,1986
IMMEILNN_00499,rlmJ,Ribosomal RNA large subunit methyltransferase J,858
IMMEILNN_00500,tatA,Sec-independent protein translocase protein TatA,309
IMMEILNN_00501,tatB,Sec-independent protein translocase protein TatB,441
IMMEILNN_00502,tatC,Sec-independent protein translocase protein TatC,783
IMMEILNN_00503,serS,Serine--tRNA ligase,1278
IMMEILNN_00504,pcm_1,Protein-L-isoaspartate O-methyltransferase,660
IMMEILNN_00505,,hypothetical protein,1170
IMMEILNN_00506,,hypothetical protein,441
IMMEILNN_00507,,hypothetical protein,387
IMMEILNN_00508,,hypothetical protein,159
IMMEILNN_00509,,hypothetical protein,867
IMMEILNN_00510,ppiD,Peptidyl-prolyl cis-trans isomerase D,1905
IMMEILNN_00511,tpiA,Triosephosphate isomerase,765
IMMEILNN_00512,,hypothetical protein,435
IMMEILNN_00513,pyrG,CTP synthase,1629
IMMEILNN_00514,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,846
IMMEILNN_00515,eno,Enolase,1275
IMMEILNN_00516,,hypothetical protein,120
IMMEILNN_00517,,hypothetical protein,405
IMMEILNN_00518,,hypothetical protein,417
IMMEILNN_00519,,hypothetical protein,405
IMMEILNN_00520,,hypothetical protein,318
IMMEILNN_00521,acoA,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha",1041
IMMEILNN_00522,dxs_2,1-deoxy-D-xylulose-5-phosphate synthase,1365
IMMEILNN_00523,pdhC,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,1326
IMMEILNN_00524,lpd,Dihydrolipoyl dehydrogenase,1461
IMMEILNN_00525,lipA,Lipoyl synthase,963
IMMEILNN_00526,pasT,Persistence and stress-resistance toxin PasT,462
IMMEILNN_00527,pncC,Nicotinamide-nucleotide amidohydrolase PncC,489
IMMEILNN_00528,ispDF,Bifunctional enzyme IspD/IspF,1200
IMMEILNN_00529,nsrR,HTH-type transcriptional repressor NsrR,441
IMMEILNN_00530,sasA_4,Adaptive-response sensory-kinase SasA,2265
IMMEILNN_00531,glnG,DNA-binding transcriptional regulator NtrC,1359
IMMEILNN_00532,trkA,Trk system potassium uptake protein TrkA,1377
IMMEILNN_00533,,hypothetical protein,810
IMMEILNN_00534,clpP,ATP-dependent Clp protease proteolytic subunit,633
IMMEILNN_00535,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,1275
IMMEILNN_00536,lon,Lon protease,2424
IMMEILNN_00537,,DNA-binding protein HRL53,279
IMMEILNN_00538,,hypothetical protein,168
IMMEILNN_00539,trmFO,Methylenetetrahydrofolate--tRNA-(uracil-5-)- methyltransferase TrmFO,1407
IMMEILNN_00541,tig,Trigger factor,1425
IMMEILNN_00542,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,1500
IMMEILNN_00543,,hypothetical protein,399
IMMEILNN_00544,,hypothetical protein,414
IMMEILNN_00545,,hypothetical protein,180
IMMEILNN_00546,,hypothetical protein,741
IMMEILNN_00547,rlmB_1,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,831
IMMEILNN_00550,ddpA_1,"putative D,D-dipeptide-binding periplasmic protein DdpA",1512
IMMEILNN_00551,xseA,Exodeoxyribonuclease 7 large subunit,1431
IMMEILNN_00552,tag,DNA-3-methyladenine glycosylase 1,627
IMMEILNN_00553,ddpA_2,"putative D,D-dipeptide-binding periplasmic protein DdpA",1620
IMMEILNN_00554,ddpA_3,"putative D,D-dipeptide-binding periplasmic protein DdpA",1617
IMMEILNN_00555,dppB,Dipeptide transport system permease protein DppB,1074
IMMEILNN_00556,ddpC,"putative D,D-dipeptide transport system permease protein DdpC",930
IMMEILNN_00557,oppD,Oligopeptide transport ATP-binding protein OppD,876
IMMEILNN_00558,oppF,Oligopeptide transport ATP-binding protein OppF,783
IMMEILNN_00559,,hypothetical protein,3456
IMMEILNN_00560,,hypothetical protein,3561
IMMEILNN_00562,iolX,scyllo-inositol 2-dehydrogenase (NAD(+)),951
IMMEILNN_00563,wbpE,UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase,1119
IMMEILNN_00564,,hypothetical protein,687
IMMEILNN_00565,,hypothetical protein,597
IMMEILNN_00566,chpT,Protein phosphotransferase ChpT,639
IMMEILNN_00567,ctrA,Cell cycle response regulator CtrA,702
IMMEILNN_00568,,hypothetical protein,387
IMMEILNN_00569,,hypothetical protein,276
IMMEILNN_00570,mnmA,tRNA-specific 2-thiouridylase MnmA,1230
IMMEILNN_00571,rlmB_2,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,831
IMMEILNN_00572,fieF,Ferrous-iron efflux pump FieF,921
IMMEILNN_00573,cpdA_1,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA",897
IMMEILNN_00574,,hypothetical protein,2097
IMMEILNN_00575,,hypothetical protein,2808
IMMEILNN_00576,,hypothetical protein,912
IMMEILNN_00577,ravA,ATPase RavA,1032
IMMEILNN_00578,cca,CCA-adding enzyme,1254
IMMEILNN_00579,trmL,tRNA (cytidine(34)-2'-O)-methyltransferase,474
IMMEILNN_00580,,hypothetical protein,204
IMMEILNN_00581,petA,Ubiquinol-cytochrome c reductase iron-sulfur subunit,591
IMMEILNN_00582,fbcH_1,Cytochrome b/c1,1266
IMMEILNN_00583,fbcH_2,Cytochrome b/c1,879
IMMEILNN_00584,,hypothetical protein,441
IMMEILNN_00585,ychF,Ribosome-binding ATPase YchF,1104
IMMEILNN_00586,,hypothetical protein,741
IMMEILNN_00587,pth,Peptidyl-tRNA hydrolase,582
IMMEILNN_00588,rplY,50S ribosomal protein L25,624
IMMEILNN_00589,,hypothetical protein,1563
IMMEILNN_00590,prs,Ribose-phosphate pyrophosphokinase,933
IMMEILNN_00591,,Polyphenol oxidase,783
IMMEILNN_00592,,hypothetical protein,1080
IMMEILNN_00593,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,867
IMMEILNN_00594,ubiK,Ubiquinone biosynthesis accessory factor UbiK,264
IMMEILNN_00595,,hypothetical protein,501
IMMEILNN_00596,sasA_5,Adaptive-response sensory-kinase SasA,1341
IMMEILNN_00597,ompR,Transcriptional regulatory protein OmpR,705
IMMEILNN_00598,gloC,Hydroxyacylglutathione hydrolase GloC,651
IMMEILNN_00599,,hypothetical protein,828
IMMEILNN_00600,uvrB,UvrABC system protein B,2313
IMMEILNN_00601,greA,Transcription elongation factor GreA,624
IMMEILNN_00602,mshA,D-inositol-3-phosphate glycosyltransferase,1059
IMMEILNN_00603,trkI,Trk system potassium uptake protein TrkI,1395
IMMEILNN_00604,trxB,Thioredoxin reductase,954
IMMEILNN_00605,argP,HTH-type transcriptional regulator ArgP,906
IMMEILNN_00606,aatA,Aspartate/prephenate aminotransferase,1203
IMMEILNN_00607,cspA,Cold shock protein CspA,210
IMMEILNN_00608,carB,Carbamoyl-phosphate synthase large chain,3486
IMMEILNN_00609,,hypothetical protein,888
IMMEILNN_00610,,hypothetical protein,261
IMMEILNN_00611,carA,Carbamoyl-phosphate synthase small chain,1197
IMMEILNN_00612,ubiC,Chorismate pyruvate-lyase,516
IMMEILNN_00613,,hypothetical protein,252
IMMEILNN_00614,,hypothetical protein,1692
IMMEILNN_00615,ybdG,Miniconductance mechanosensitive channel YbdG,1218
IMMEILNN_00616,dnaG,DNA primase,1938
IMMEILNN_00617,rpoD,RNA polymerase sigma factor RpoD,2013
IMMEILNN_00618,,hypothetical protein,147
IMMEILNN_00619,,hypothetical protein,462
IMMEILNN_00620,,26 kDa periplasmic immunogenic protein,726
IMMEILNN_00622,,hypothetical protein,183
IMMEILNN_00623,,hypothetical protein,315
IMMEILNN_00624,,hypothetical protein,618
IMMEILNN_00625,,hypothetical protein,315
IMMEILNN_00626,,hypothetical protein,180
IMMEILNN_00627,,hypothetical protein,540
IMMEILNN_00628,,hypothetical protein,1053
IMMEILNN_00629,pncA,Nicotinamidase,609
IMMEILNN_00630,,hypothetical protein,537
IMMEILNN_00631,ettA,Energy-dependent translational throttle protein EttA,1647
IMMEILNN_00632,,hypothetical protein,939
IMMEILNN_00633,,hypothetical protein,375
IMMEILNN_00634,,hypothetical protein,510
IMMEILNN_00636,rsmH,Ribosomal RNA small subunit methyltransferase H,999
IMMEILNN_00637,,hypothetical protein,405
IMMEILNN_00638,ftsI,"putative peptidoglycan D,D-transpeptidase FtsI",1740
IMMEILNN_00639,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--LD- lysine ligase,1452
IMMEILNN_00640,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,1428
IMMEILNN_00641,mraY,Phospho-N-acetylmuramoyl-pentapeptide- transferase,1071
IMMEILNN_00642,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,1449
IMMEILNN_00643,ftsW,putative peptidoglycan glycosyltransferase FtsW,1155
IMMEILNN_00644,murG,UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,1137
IMMEILNN_00645,murC,UDP-N-acetylmuramate--L-alanine ligase,1428
IMMEILNN_00646,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,978
IMMEILNN_00647,ddlB,D-alanine--D-alanine ligase B,921
IMMEILNN_00648,ftsQ,Cell division protein FtsQ,912
IMMEILNN_00649,ftsA,Cell division protein FtsA,1302
IMMEILNN_00650,ftsZ,Cell division protein FtsZ,1770
IMMEILNN_00651,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,873
IMMEILNN_00652,bamD,Outer membrane protein assembly factor BamD,894
IMMEILNN_00653,recN,DNA repair protein RecN,1662
IMMEILNN_00654,ligA,DNA ligase,2151
IMMEILNN_00655,,hypothetical protein,264
IMMEILNN_00656,,hypothetical protein,1827
IMMEILNN_00657,prmA,Ribosomal protein L11 methyltransferase,870
IMMEILNN_00658,,hypothetical protein,582
IMMEILNN_00659,dapH,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",630
IMMEILNN_00660,uvrD,DNA helicase II,2337
IMMEILNN_00661,,hypothetical protein,252
IMMEILNN_00662,,hypothetical protein,183
IMMEILNN_00663,,hypothetical protein,546
IMMEILNN_00665,,hypothetical protein,306
IMMEILNN_00666,kgtP_1,Alpha-ketoglutarate permease,1308
IMMEILNN_00667,kgtP_2,Alpha-ketoglutarate permease,1308
IMMEILNN_00668,kgtP_3,Alpha-ketoglutarate permease,1308
IMMEILNN_00669,thyA,Thymidylate synthase,795
IMMEILNN_00670,,IS1595 family transposase ISSsu9,510
IMMEILNN_00671,,hypothetical protein,1146
IMMEILNN_00672,hflC,Modulator of FtsH protease HflC,936
IMMEILNN_00673,degP_3,Periplasmic serine endoprotease DegP,1518
IMMEILNN_00674,miaA,tRNA dimethylallyltransferase,873
IMMEILNN_00675,ilvI,Acetolactate synthase isozyme 3 large subunit,1800
IMMEILNN_00676,,hypothetical protein,573
